lat,lon
40.7244362,-73.97941114
40.72444934,-73.9794385
40.7244665,-73.97946061
40.72448131,-73.97947888
40.72449547,-73.97949861
40.72450677,-73.97951743
40.72451742,-73.97953408
40.72452747,-73.97954985
40.72453619,-73.97956423
40.72454362,-73.97957901
40.72455092,-73.97959447
40.72455769,-73.97961107
40.72456287,-73.9796279
40.72456701,-73.97964459
40.72457048,-73.97966084
40.72457405,-73.97967704
40.72457883,-73.97969367
40.72458342,-73.97971108
40.72458824,-73.97972886
40.72459232,-73.97974669
40.72459509,-73.9797648
40.72459782,-73.97978325
40.72460048,-73.97980251
40.72460207,-73.9798213
40.72460391,-73.97984028
40.72460563,-73.97986125
40.72460724,-73.97988219
40.72461025,-73.9799006
40.72461521,-73.97991646
40.72462114,-73.97993213
40.72462865,-73.97994852
40.72463696,-73.97996467
40.72464578,-73.97998145
40.72465566,-73.97999552
40.7246656,-73.98000458
40.72467462,-73.98001065
40.72468169,-73.98001718
40.72468704,-73.98002781
40.72469151,-73.98004207
40.72469579,-73.98005813
40.72469675,-73.98006483
40.7246987,-73.98007095
40.72470616,-73.98008488
40.72471481,-73.9800975
40.72472283,-73.98010947
40.72472923,-73.98012247
40.72473481,-73.98013712
40.72474012,-73.98015264
40.72474601,-73.98016819
40.72475123,-73.98018456
40.72475707,-73.98020133
40.72476342,-73.98021749
40.72477033,-73.98023244
40.72477867,-73.98024622
40.72478629,-73.98025982
40.7247925,-73.98027325
40.72479736,-73.98028664
40.72480168,-73.98030211
40.72480592,-73.98031865
40.72481037,-73.98033437
40.72481604,-73.98034998
40.72482186,-73.98036366
40.72482702,-73.98037528
40.72483199,-73.98038673
40.72483714,-73.98039975
40.72484174,-73.98041525
40.7248464,-73.98043212
40.72485126,-73.98044804
40.72485662,-73.98046211
40.7248628,-73.98047372
40.7248695,-73.9804857
40.72487629,-73.98049927
40.72488197,-73.98051356
40.72488752,-73.98052789
40.72489245,-73.98054344
40.72489686,-73.98055735
40.72490088,-73.98056921
40.72490572,-73.98057944
40.72491147,-73.98059003
40.7249177,-73.98060099
40.72492454,-73.98061282
40.72493215,-73.98062505
40.72494012,-73.98063834
40.72494812,-73.98065265
40.72495573,-73.98066864
40.72496346,-73.98068615
40.72497219,-73.98070363
40.72498147,-73.98072074
40.72499017,-73.98073727
40.7249985,-73.98075437
40.7250048,-73.98077351
40.7250079,-73.98079359
40.72500755,-73.98081253
40.72500522,-73.98083063
40.72500166,-73.98084786
40.72499766,-73.98086535
40.72499391,-73.98088441
40.72499057,-73.98090447
40.72498857,-73.98092488
40.72498731,-73.98094488
40.72498744,-73.98096399
40.7249882,-73.9809852
40.72498822,-73.98100806
40.72498795,-73.98103097
40.72498805,-73.98105291
40.72498887,-73.98107339
40.72498949,-73.98109212
40.72498977,-73.98110745
40.72499037,-73.98111932
40.72499136,-73.98112828
40.7250282,-73.9811506
40.72502666,-73.98114571
40.72502818,-73.98114824
40.72503117,-73.9811538
40.72503546,-73.98116225
40.72504071,-73.98117298
40.72504652,-73.98118578
40.72505216,-73.98119977
40.72505665,-73.98121459
40.7250593,-73.98122816
40.72506128,-73.9812407
40.72506445,-73.98125388
40.72506928,-73.98126847
40.72507394,-73.98128342
40.72507796,-73.98129857
40.7250814,-73.98131475
40.72508466,-73.9813307
40.72508594,-73.98134672
40.72508605,-73.98136159
40.72508452,-73.98137411
40.72508251,-73.98138548
40.72508422,-73.98139983
40.72509153,-73.98141641
40.72509756,-73.98143529
40.72509949,-73.98145494
40.72509502,-73.98147386
40.72508778,-73.9814914
40.72508283,-73.98150642
40.72508113,-73.98152029
40.72508213,-73.98153239
40.72508551,-73.98154236
40.72509177,-73.9815523
40.72510021,-73.98156379
40.72510601,-73.9815759
40.72510793,-73.98158889
40.72510706,-73.98160355
40.72510985,-73.98161892
40.72511737,-73.98163285
40.72512836,-73.98164555
40.7251412,-73.98165737
40.72515622,-73.98166899
40.7251747,-73.98167986
40.72519473,-73.98169089
40.72521501,-73.98170248
40.72523352,-73.98171482
40.72524964,-73.98172822
40.72526372,-73.98174301
40.72527686,-73.98175815
40.72528913,-73.98177283
40.72530072,-73.98178679
40.72531097,-73.98180042
40.72531904,-73.98181305
40.72532739,-73.98182358
40.72533536,-73.98183342
40.7253441,-73.98184309
40.72535462,-73.98185288
40.72536498,-73.98186377
40.72537423,-73.98187615
40.72538296,-73.98189014
40.72539125,-73.98190528
40.72539738,-73.98192177
40.72540072,-73.98193961
40.72540356,-73.98195684
40.72540698,-73.98197322
40.72541123,-73.98199077
40.72541694,-73.98200714
40.72541941,-73.98202291
40.72541909,-73.98203624
40.72541504,-73.98204601
40.72540971,-73.98205513
40.72540382,-73.98206466
40.72539839,-73.98207539
40.72539506,-73.9820845
40.72539434,-73.98209391
40.7253972,-73.98210493
40.72540324,-73.98211834
40.72541304,-73.9821336
40.72542783,-73.9821488
40.72544426,-73.98216271
40.72545955,-73.98217602
40.72547116,-73.98219095
40.7254784,-73.98220706
40.72548417,-73.98222365
40.72548839,-73.98224113
40.72549279,-73.98225658
40.72549783,-73.98226861
40.72550567,-73.9822788
40.72551569,-73.98228805
40.72552626,-73.98229681
40.72553615,-73.98230633
40.72554482,-73.98231719
40.72554947,-73.98233049
40.72555057,-73.98234455
40.72554761,-73.9823557
40.72554303,-73.98236516
40.72553878,-73.98237414
40.72553711,-73.98238523
40.72553765,-73.98239764
40.72554025,-73.98241131
40.72554551,-73.98242668
40.72555283,-73.98244292
40.72556045,-73.98245962
40.72556757,-73.98247483
40.72557539,-73.98248839
40.72558422,-73.98250135
40.7255941,-73.98251622
40.72560461,-73.98253539
40.7256163,-73.98255622
40.72562858,-73.98257557
40.72564023,-73.98259228
40.72565096,-73.98260687
40.72565894,-73.98262022
40.72566463,-73.98263441
40.72566899,-73.98264889
40.72567305,-73.98266272
40.72567549,-73.98267734
40.72567807,-73.98269205
40.7256822,-73.98270621
40.7256877,-73.98272085
40.72569393,-73.9827358
40.72570068,-73.98274998
40.72570721,-73.98276432
40.72571404,-73.98277979
40.72572093,-73.98279622
40.72572815,-73.98281252
40.7257349,-73.98282729
40.72574132,-73.98284003
40.72574729,-73.98285002
40.72575192,-73.98285849
40.72575492,-73.98286807
40.72575807,-73.98287986
40.72576095,-73.98289453
40.72576284,-73.98291298
40.72576373,-73.98293275
40.72576364,-73.98295067
40.72576149,-73.98296576
40.7257606,-73.98298037
40.72576237,-73.98299442
40.72576852,-73.98300726
40.72577795,-73.98302095
40.72578966,-73.98303599
40.72580041,-73.98305247
40.72581105,-73.98307003
40.72582101,-73.98308861
40.72583011,-73.98310741
40.72583775,-73.98312593
40.72584355,-73.98314457
40.72584795,-73.98316258
40.72585187,-73.98317884
40.72585628,-73.98319487
40.72586131,-73.98321142
40.72586723,-73.9832275
40.72587376,-73.98324333
40.7258815,-73.98325833
40.72588974,-73.98327288
40.72589733,-73.98328663
40.72590435,-73.9832992
40.72591083,-73.98331162
40.72591785,-73.98332309
40.72592807,-73.98333282
40.72594035,-73.9833422
